Lower Super Output Area,Names,Age 16-29,No cars or vans (%),Public Transport Accessibility Levels,Non-English speaking(%),Income estimate,One person household(%),Private rented (%),No usual residents (%),High qualification Level (%)
E01000154,Barnet 026E,288,47.7,2.9,28.7,26170,30.3,18,1.2,25.7
E01000176,Barnet 027A,296,41.5,2,11.7,33281,38.8,10.3,1.7,31.1
E01000178,Barnet 027B,334,34.4,3,9.9,52135,28.5,22,1.8,50.8
E01000184,Barnet 027C,272,39,1.9,15.9,31959,27.4,12.3,1.2,28.7
E01000297,Barnet 027D,331,28,2.7,17.5,39857,30,28.5,2.5,43.2
E01000316,Barnet 027E,573,28.9,2.7,21.1,38503,22.2,34.6,1.6,44.4
E01000319,Barnet 027F,274,21.7,2.8,15.3,52431,18.1,18,1.3,44.7
E01000196,Barnet 028A,405,43.1,4.4,23.1,42044,38.6,55.1,5.2,48
E01000200,Barnet 028B,275,25.7,3.1,14,55223,39.5,27.8,4.1,47.8
E01000201,Barnet 028C,271,11,2.6,10.8,74514,20.3,14.5,4.8,47.5
E01000202,Barnet 028D,297,22.8,2.9,16.4,63148,24.7,28.9,3.7,54
E01000203,Barnet 028E,388,32.8,2.4,22,40474,27.7,22.2,3,39.9
E01000177,Barnet 029A,341,29.1,2.1,9.1,54455,26.5,30.3,2.3,58.7
E01000179,Barnet 029B,290,29.9,2,11.1,52005,37.5,33,2.6,59.8
E01000180,Barnet 029C,343,40.6,2.8,12.5,41027,34.7,21.8,3.4,47.1
E01000181,Barnet 029D,366,37.8,4,9.9,61776,24.2,36.2,2.2,60.3
E01000182,Barnet 029E,378,41.4,4.4,11,58841,33.9,38.2,3.5,61.3
E01000185,Barnet 029F,388,52.1,1.8,24.1,28702,35,19.8,1,32.3
E01000147,Barnet 030A,434,20.2,2.5,23.9,38453,19.9,23,2.3,30.4
E01000148,Barnet 030B,481,44.1,3.6,28,29532,34.1,23.3,2.3,29.9
E01000155,Barnet 030D,510,44.4,3.6,36.8,33295,35.9,56.7,3.4,37.8
E01033572,Barnet 030E,392,23.1,2.1,29.4,36033,21.5,32.4,4,31.9
E01033573,Barnet 030F,851,41.5,3.3,28,37007,42.8,45.3,6.2,42.9
E01000239,Barnet 031A,512,36,2.4,31.4,37610,37.1,46.9,4.2,44.6
E01000240,Barnet 031B,387,17.9,1.7,22.3,39954,22.3,28,3.6,37.9
E01000241,Barnet 031C,420,25.3,1,19.8,49762,32.3,32.5,2.5,46.4
E01000309,Barnet 031D,484,23.9,4.1,25.7,45768,22.8,36.7,5.1,42.8
E01000237,Barnet 032A,717,36.6,4.4,23.9,48120,24.5,49.3,5.6,45.7
E01000242,Barnet 032B,299,21.1,2.4,11.7,50802,27,19.9,4.2,39.7
E01000243,Barnet 032C,567,41.6,3,23.4,38492,35.1,45.3,3.8,44
E01000244,Barnet 032D,608,41.4,3.1,23,39921,29.7,34.2,5.8,39.9
E01000245,Barnet 032E,541,50.9,3.1,27.4,31050,33.4,27.3,3,32.2
E01000314,Barnet 032F,502,29.2,4.7,26.4,47920,20.8,44.2,4.6,44.2
E01000183,Barnet 033A,221,27.4,1.9,8.7,60789,32,25,3.8,58
E01000206,Barnet 033B,237,10.9,1.9,11.5,106846,19.3,20.4,14.3,50.9
E01000207,Barnet 033C,252,18.3,2.2,10.9,79329,24.5,24.5,4.4,55.6
E01000208,Barnet 033D,305,15.8,3.1,10.3,71120,25.7,21.6,6.4,58.4
E01000210,Barnet 033E,221,18.8,2.2,10.5,69665,26.2,26.3,2.8,61.1
E01000213,Barnet 033F,204,10.5,2,6.5,98527,17.6,11,2.3,57.2
E01000236,Barnet 034A,491,26.7,2.8,14.7,49966,27.7,40.4,3.9,40.8
E01000238,Barnet 034B,466,27,2.5,22.6,42310,20.7,34.8,3.6,40.7
E01000310,Barnet 034C,614,39.8,4.1,31.4,38348,18.7,43.2,5.4,37.3
E01000311,Barnet 034D,331,15.1,3.6,13.2,66453,15.5,24,7.5,44.2
E01000205,Barnet 035A,171,12.9,2.1,8.2,70783,28.8,13.7,2.5,56.6
E01000209,Barnet 035B,148,25.3,2.8,6,70646,41.4,14.1,3.1,61.8
E01000211,Barnet 035C,571,45.3,3,25.6,39980,36.1,50.9,3.9,45.4
E01000212,Barnet 035D,270,22.1,3.3,12.1,73892,22.3,28.5,3.3,62.7
E01000216,Barnet 035E,396,31.6,3.3,19.2,57944,26.6,37.3,4.2,49.1
E01000217,Barnet 035F,379,22.6,2.9,15.9,58919,19.4,33.2,3.2,39.7
E01000150,Barnet 036A,442,27,2,28,36188,23.9,23.5,2.2,32.9
E01000305,Barnet 036B,379,43.2,3.5,32.7,31168,34.9,31.7,3,30
E01000306,Barnet 036C,439,34.2,3.4,35.5,36130,19.5,31.7,1.6,32.2
E01000308,Barnet 036D,324,53.4,3.3,23.9,24740,38.4,10.6,2.2,21.4
E01000312,Barnet 036E,352,39.6,2.7,29.9,31579,36.3,32.5,1.4,31.1
E01000313,Barnet 036F,526,37.1,4,32.1,33802,29.5,43.9,4,32.7
E01000145,Barnet 037A,349,29.3,3.7,18.2,53002,20.5,34.7,5.1,43.4
E01000215,Barnet 037B,480,32.2,3.7,15.7,51051,30.3,36.6,5.7,40.9
E01000218,Barnet 037C,451,36.8,4,18.7,51466,25.7,48,3.7,43.2
E01000219,Barnet 037D,448,36.3,4.4,22.2,42215,22,51.5,3,35.8
E01000220,Barnet 037E,437,45.2,3.9,22.6,41962,32.5,49.2,3.4,38.9
E01000225,Barnet 037F,296,23.6,2.3,8.3,59993,25,22.9,2,37.8
E01000135,Barnet 038A,356,24.4,4.2,17.2,58100,23.7,29.8,12.3,49.8
E01000136,Barnet 038B,252,23.4,4.4,14.4,89527,25.2,27.4,6.6,56.4
E01000144,Barnet 038C,462,45.8,6.1,33.1,54339,32.6,57.5,5.2,55.5
E01000146,Barnet 038D,472,50.4,6.7,29.4,43571,36.2,55,4,51.1
E01000214,Barnet 038E,378,34,4.4,19.4,65946,31.5,41.7,6,67.1
E01000141,Barnet 039A,661,56.6,5.6,33.1,32814,33.6,51.5,1.8,36.9
E01000221,Barnet 039B,280,50.3,3.7,24.1,27934,32.8,15.1,1.6,25.8
E01000223,Barnet 039C,251,37,2.9,24.1,31157,30.1,19.9,2.8,27
E01000307,Barnet 039D,385,35.1,1.9,24.7,33948,21.9,21.9,2.9,25.5
E01000138,Barnet 040A,313,31.7,3.2,25.6,38321,28.5,31.4,2.2,34.1
E01000142,Barnet 040B,534,39.3,4.1,33.4,37952,32.9,49.6,3.2,40.2
E01000222,Barnet 040C,339,32.4,2.9,29.2,33218,21.1,28.9,3.3,30.7
E01000224,Barnet 040D,324,28.8,3.1,29,37462,22.3,30.3,3.7,35
E01000137,Barnet 041A,339,48.9,3.6,28.4,32417,32.3,20.9,4.2,33.1
E01000139,Barnet 041B,320,32.3,3.9,18.8,50785,27,29.8,3.6,46.8
E01000140,Barnet 041C,455,51.2,4.1,28.8,40013,34.7,45.7,5.5,47.5
E01000143,Barnet 041D,362,53.3,4.5,23.2,29843,32.5,23,1.1,30
E01000466,Bexley 001A,350,45.8,2.5,9.6,30312,31.2,12.1,1.1,27.1
E01000467,Bexley 001B,326,36.9,3,11,33526,26.1,23.5,5.3,31.7
E01000468,Bexley 001C,537,30.3,1.8,13.4,36542,19.4,32.9,8.9,35.1
E01000469,Bexley 001D,308,34.9,3.3,9.6,35289,29.1,25,3.3,30.9
E01000416,Bexley 002A,288,34,3.9,11.8,33674,20.9,19.1,1.5,26.4
E01000418,Bexley 002B,379,31.4,3.3,11.1,34618,28.4,17.9,2,25.5
E01000422,Bexley 002C,367,52.3,3.3,12.3,25888,34.5,6.6,2.4,25
E01000464,Bexley 002D,269,42.1,2.2,7.1,27524,32.6,12.5,2,23.6
E01000465,Bexley 002E,288,47.9,2.5,6.1,28070,43.3,9.6,4.6,22.2
E01000470,Bexley 002F,320,50,3.1,11.9,26047,34.7,11.4,21.3,21.7
E01000333,Bexley 003A,263,34.3,2.2,3.4,33258,43.1,19.8,4.5,17.4
E01000335,Bexley 003B,351,28.7,3.6,10.8,31727,23.4,21.3,1.8,23
E01000336,Bexley 003C,421,43.5,3.2,9.6,29772,37.6,20.8,4.3,24
E01000337,Bexley 003D,319,24,2.4,6.2,36423,26.5,17.9,2.1,21.7
E01000338,Bexley 003E,365,24,2.8,8.9,36406,30.2,25.5,2.5,24.7
E01000403,Bexley 004A,391,43.1,3.8,4.9,32832,40.6,11.3,0.9,21
E01000404,Bexley 004B,581,41.5,2.8,10.6,32159,34.6,38.4,7.2,27.4
E01000405,Bexley 004C,259,24.1,1.9,6.5,34961,27.4,19.9,3.5,22.9
E01000408,Bexley 004D,350,25.8,2.5,11.1,33608,20.4,20.4,1.7,20.8
E01000332,Bexley 005A,282,20.3,2.8,2.6,37695,26.5,11.6,3.3,23.5
E01000402,Bexley 005B,302,32.9,2.1,3.3,35911,34.1,18,2.4,21.3
E01000406,Bexley 005C,349,22.6,1.8,8.9,35250,24.4,21.5,4.2,22.4
E01000407,Bexley 005D,212,23.7,2.4,2.9,37671,34,9.8,2.2,21.8
E01000334,Bexley 006A,291,19.2,2.1,3.1,40881,27.3,11.6,2.9,18.9
E01000417,Bexley 006B,294,30.6,2.5,4.5,38058,30.3,12.8,2.9,23.8
E01000419,Bexley 006C,203,17.8,2,3.4,43959,25.8,4.7,2.3,17.2
E01000420,Bexley 006D,273,12.4,2.2,1.2,44915,22.7,7.9,2.3,19.9
E01000442,Bexley 006E,236,19.6,2.5,2.1,39638,25.1,6.4,2.3,16.1
E01000437,Bexley 007A,236,19.7,1.7,1.4,40959,24.7,5.8,2.5,18.4
E01000438,Bexley 007B,355,19.4,2,2.7,37492,21.4,12,2.8,18.8
E01000439,Bexley 007C,253,24.8,2.5,2.6,33858,21.2,17.1,3.9,16
E01000440,Bexley 007D,243,9.7,1.6,3.1,45795,18.6,3.3,1.7,17.4
E01000441,Bexley 007E,309,30.1,2,3.3,33798,29.2,11.2,2.5,17.4
E01000373,Bexley 008A,379,52.6,2,6.5,25700,36,5.8,2,18.3
E01000429,Bexley 008B,364,46.2,1.4,6.7,28509,38.1,33.5,3.7,22.1
E01000430,Bexley 008C,301,21.5,1.8,3.7,35759,23.6,13.3,1.5,29.8
E01000431,Bexley 008D,394,45.8,2.1,7.5,28038,31,11,2.4,20.1
E01000432,Bexley 008E,250,30.5,3.4,5.2,31901,27.2,10.3,2.3,17.2
E01000433,Bexley 008F,375,37.6,3.2,4,28836,29.2,11.2,1.6,17.5
E01000434,Bexley 008G,283,39.4,3.7,3.2,28181,27.5,7.2,0.8,11.6
E01000356,Bexley 009A,219,18.5,3.9,3.7,46776,22.6,9.4,2.3,18.9
E01000357,Bexley 009B,233,10.9,2.7,2.5,55127,13.9,4.7,1.6,22
E01000359,Bexley 009C,186,14.5,2.1,2.5,55264,19.7,5.5,1.6,24.6
E01000421,Bexley 009D,189,20.6,2,2.5,45222,26.2,2.7,1.8,18.8
E01000450,Bexley 009E,314,19.4,2,3.4,37551,22.2,6.7,1.7,19.2
E01000451,Bexley 009F,300,14.3,2.3,2.7,44202,19.5,5.5,1.9,19.2
E01000452,Bexley 009G,238,10.3,1.6,1.8,46724,17.6,4.4,1.4,19.3
E01000367,Bexley 010A,294,31.6,1.9,2,30750,28.9,7.1,3.2,14.5
E01000368,Bexley 010B,287,28.6,1.7,3.3,32290,27.2,6.6,0.9,14.5
E01000372,Bexley 010C,317,29.2,2,4.6,32833,23.4,5.9,2.1,17.5
E01000380,Bexley 010D,255,32.7,2.2,2.6,32470,48.7,10.6,1.4,15.7
E01000435,Bexley 010E,261,34.7,2.7,2.3,31741,31.5,11.2,0.8,16.4
E01000353,Bexley 011A,234,13.3,2.1,0.9,52086,21,1.8,0.7,21
E01000354,Bexley 011B,260,24.9,2.9,1.8,37948,29.2,6.4,1,20.3
E01000355,Bexley 011C,211,19.4,1.7,1.6,45240,26.8,3.4,1,18.5
E01000358,Bexley 011D,256,16.5,3.2,2.1,47382,24.7,8.6,3.4,20.5
E01000436,Bexley 011E,264,11.9,2.6,2.1,52193,15.8,6.7,1.9,20.1
E01000401,Bexley 013A,303,30.3,3.1,4.2,34655,30.1,14.3,3.2,16.4
E01000453,Bexley 013B,259,10.9,1.7,2.9,45063,17.2,6.8,2.7,17
E01000454,Bexley 013C,260,24.8,2.8,4,35957,28.7,6.5,2.5,17.9
E01000455,Bexley 013D,302,14.7,2.7,4.1,45778,18.7,7.6,2.3,21.3
E01000456,Bexley 013E,222,14.2,1.9,3.9,44410,14.2,4.5,1,19.4
E01000325,Bexley 014A,274,9.1,3.2,1,53950,18,5.7,1,21.2
E01000326,Bexley 014B,234,14.7,2.1,2.2,43062,23.9,10.8,1.1,20.8
E01000369,Bexley 014C,269,15.8,1.9,0.8,38604,21.4,7.8,1.3,18.3
E01000370,Bexley 014D,204,18.3,3.4,2.5,45513,25.3,7.9,1.7,22.5
E01000371,Bexley 014E,272,17.5,1.4,0.9,43306,26,7.7,2.5,20.8
E01000360,Bexley 015A,326,25.4,4.4,4.7,43315,30.2,29.3,4.2,26.8
E01000362,Bexley 015B,232,20.9,3.6,1.4,47421,31.8,6.7,2,24.4
E01000365,Bexley 015C,290,31.6,3.5,3.1,41567,32.7,17.4,2.4,23.7
E01000366,Bexley 015D,273,22.6,4.7,3.5,48579,25.8,13.1,2.1,27.3
E01000394,Bexley 015E,204,25,4.4,4.3,47996,31.4,13.1,3,25.4
E01000388,Bexley 016A,222,20,2.8,1.6,44806,25,4.8,1.7,18.8
E01000392,Bexley 016B,385,38.1,3.6,7.2,33021,32.7,23.2,4.8,20.2
E01000409,Bexley 016C,246,15.7,2.2,2,44642,20.8,4.6,2.1,17.3
E01000411,Bexley 016D,231,15.6,2,3.3,41950,23.4,6.4,1.8,17.4
E01000414,Bexley 016E,344,34,3.5,8.5,37632,30.6,20.3,4.8,21.3
E01000415,Bexley 016F,291,10.9,2.6,2.3,51273,16.2,3.3,1.7,21.4
E01000327,Bexley 017A,243,15.9,4.1,1.8,52476,23.2,5.1,2.7,20.8
E01000328,Bexley 017B,212,14.9,2.1,2.2,45444,25.8,5.2,2,19.3
E01000329,Bexley 017C,244,22.1,3.7,1.4,38740,28,9.5,1.9,21.8
E01000330,Bexley 017D,256,37,4.9,2.5,37031,45.9,14.2,1.9,20.3
E01000331,Bexley 017E,271,23.7,1.7,1.9,34390,23.7,6,0.8,16.7
E01000340,Bexley 018A,228,16.8,1.4,1.1,38865,26.7,8.2,2.2,19.2
E01000395,Bexley 018B,280,12.2,2.7,3.8,51040,17.2,4.4,1.2,21.3
E01000396,Bexley 018C,251,13.2,2,3,46773,19.9,5.5,1.4,22.2
E01000410,Bexley 018D,272,15.7,1.8,2,44514,22.1,9.1,2.8,19.9
E01000412,Bexley 018E,315,16.6,2.7,2.4,45237,23.1,10.8,2.3,21.9
E01000413,Bexley 018F,249,11.9,1.7,2.4,38873,23,9.9,6.5,17
E01000374,Bexley 019A,261,26,1.3,3.9,28954,23.2,5.1,0.6,13.7
E01000375,Bexley 019B,287,23.2,2.8,2.5,35439,24.2,7.8,2.2,18.4
E01000376,Bexley 019C,222,20.6,1.6,2.1,37626,25.4,9.1,1.9,17.8
E01000377,Bexley 019D,253,18.2,1.5,2,41608,34.2,9.1,2.1,22
E01000378,Bexley 019E,402,27.9,2.2,3.7,37743,41.1,18.3,3,21
E01000379,Bexley 019F,277,21.1,2.7,1.7,38612,29.3,8.1,2.1,20.1
E01000348,Bexley 020A,221,6.7,1.9,1.5,59972,14.5,2.7,1.5,24.7
E01000349,Bexley 020B,226,12,2.2,1.8,53964,23.2,5.5,2,25.4
E01000361,Bexley 020C,269,14,2.8,2.7,46208,26.2,11.3,2,22.5
E01000363,Bexley 020D,251,13.3,2.7,2.8,51887,24.2,9.7,1.9,25.4
E01000389,Bexley 020E,316,20.7,3.5,3.4,47077,30.1,10.5,2.5,26.6
E01000390,Bexley 020F,196,19,1.9,3.1,47324,27.4,5.6,1.7,20.9
E01000393,Bexley 020G,302,20.5,3,3.6,43655,27.3,11.9,1.7,22.4
E01000346,Bexley 021A,296,12.6,1.9,1.9,45089,23.4,5.9,0.8,18.2
E01000347,Bexley 021B,287,19.9,2.4,2.9,38225,30.4,10.2,3.6,12.6
E01000350,Bexley 021C,299,12.5,2.1,2.7,47348,16.9,10.2,1.9,20
E01000352,Bexley 021D,284,19.5,2.2,2.2,40169,32.2,14.1,4.4,17.7
E01000391,Bexley 021E,345,16.6,1.3,2.5,38194,21.9,7.3,1.4,16.8
E01000341,Bexley 022A,206,15.6,1.8,0.8,44606,26.9,6.2,1.8,17.2
E01000342,Bexley 022B,283,15.7,1.9,1.6,43489,24.5,9.3,1.2,18.9
E01000343,Bexley 022C,277,12.9,2.5,3.8,44800,18,10.4,1.4,17.8
E01000345,Bexley 022D,243,10.1,2.1,2.1,51936,17.7,6.6,2.4,20.6
E01000460,Bexley 022E,278,6.8,1.9,1.6,66601,16.5,9,1,30.6
E01000364,Bexley 023A,237,15.4,2.1,2.9,46598,28,10.4,1.7,24.3
E01000444,Bexley 023B,231,6.1,1.1,1.8,65074,19.5,7.2,0.9,29.9
E01000447,Bexley 023C,255,21.9,3.5,2.2,49869,38.1,19.9,5.2,29.8
E01000448,Bexley 023D,180,7.9,2.7,0.2,65916,15.9,2.2,1.8,31.5
E01000449,Bexley 023E,186,17.6,3.2,0.8,63113,32.4,8,2.6,33.7
E01000351,Bexley 024A,267,11,1.8,1,45308,20.8,7,2.5,18.6
E01000443,Bexley 024B,212,20.2,3,1.2,41117,27.8,6.7,1.9,19.1
E01000445,Bexley 024C,220,12.4,2.7,1.6,53655,26.5,7.9,1.4,23.5
E01000446,Bexley 024D,287,14,2.3,1,46708,20.1,8.8,1.5,21
E01000461,Bexley 024E,326,9.8,3.1,1.1,55590,13.4,4.2,1.2,25.3
E01000339,Bexley 025A,232,16.8,2.3,1.2,42634,24.1,5.8,1.8,19.9
E01000344,Bexley 025B,249,19.8,2.3,2.3,47226,26.2,9.9,1.7,21.4
E01000423,Bexley 025C,246,13.3,2.6,2.3,55948,19.9,4.4,1.6,27.1
E01000425,Bexley 025D,229,9,1.5,1.7,56524,16.8,2.2,0.7,23.4
E01000463,Bexley 025E,216,10.4,2.1,2,52090,15.9,6.4,1.1,24.8
E01000424,Bexley 026A,304,16.7,3.8,1.8,56227,36.9,9,1.3,34.6
E01000426,Bexley 026B,290,21.8,2,2,48860,30.2,15.4,1.7,27.3
E01000427,Bexley 026C,310,29.1,2.2,1.8,39953,40.3,9.1,2.1,24.3
E01000457,Bexley 026D,451,32.4,4.7,3.4,42550,42.1,30.7,6,27.6
E01000462,Bexley 026E,353,37.1,4.4,4.1,40641,40.5,25.9,4.8,22
E01000382,Bexley 027A,224,13.1,2.1,2.9,55154,21.8,5.5,2.3,28.2
E01000384,Bexley 027B,331,28.2,3,1.7,42538,36.2,15.6,1.6,25.8
E01000387,Bexley 027C,236,14.9,3,1.6,44741,24.1,6.6,1.9,23.5
E01000428,Bexley 027D,445,35,3.8,4.3,36887,52.9,19.8,8.4,26.3
E01000458,Bexley 027E,245,21.4,2.5,1.7,58496,33.1,10.1,3.8,33.2
E01000459,Bexley 027F,303,32.9,3.2,2.8,42908,43,18.1,3.1,27.7
E01000381,Bexley 028A,246,21.8,2.7,2.3,36269,31.4,8.8,2.9,20.1
E01000383,Bexley 028B,224,16.1,1.1,2.5,42776,27.8,5.2,2.9,22.3
E01000385,Bexley 028C,395,27.5,1.4,3.1,31459,28.2,9.6,2,18.9
E01000386,Bexley 028D,272,43.9,3,6.7,30121,41,12.1,1.3,15.8
E01000398,Bexley 029A,280,22.7,1.9,4.3,35062,23.2,7.9,1.5,15.5
E01000399,Bexley 029B,273,21.3,2.7,2.6,42348,27.5,10.7,1.4,19.3
E01000400,Bexley 029C,282,22.4,2.4,4.9,38707,24.7,12.2,3.9,18.5
E01032566,Bexley 029D,334,32.5,2.4,4,34802,34.5,9.5,3,18.8
E01000587,Brent 001A,403,14.6,2.4,28.8,42172,12.2,18.8,1.3,27.6
E01000589,Brent 001B,418,21.1,2.6,32.1,41121,16.6,21.1,1.3,30.3
E01000590,Brent 001C,349,24.1,2.4,22,43516,26.5,20,1.4,33.4
E01000592,Brent 001D,386,25,4.2,29,41434,22.1,18.9,2.8,30.4
E01000593,Brent 001E,487,22.1,2.6,24.7,39719,16.2,18.7,1.9,32
E01000594,Brent 001F,366,28.7,3.2,33.8,38402,20.9,29.6,2.2,32.4
E01000513,Brent 002A,387,17,3,27.6,44208,14.4,22.5,1.5,27.8
E01000514,Brent 002B,345,23.4,2.8,26.9,41700,21.8,27.5,2.6,29.9
E01000516,Brent 002C,395,22.6,2.8,31.3,37415,18,29.8,3.9,25.7
E01000520,Brent 002D,310,31.1,3,20,36905,27.3,26.8,3.5,29.5
E01000588,Brent 002E,500,27.1,3,27.7,33867,17.6,15.2,1.8,27.2
E01000515,Brent 003A,371,41.9,3.2,30.4,32237,30.7,27.5,3.4,26
E01000517,Brent 003B,347,22,2.7,24.4,48886,16.7,26.1,3,36.1
E01000543,Brent 003E,378,29.8,3.1,32.4,44298,17.2,24.6,1.2,37.5
E01000591,Brent 003F,542,33.1,3.6,38,35477,20.5,31.2,1.2,32.8
E01033463,Brent 003G,655,17.2,2.4,24.4,47349,15.1,18,2,31.3
E01000536,Brent 004A,362,23,4.1,20.5,61985,21.5,22.2,3.2,44.9
E01000538,Brent 004B,311,7.5,1.2,15.5,67833,13.8,10.7,2.2,43.4
E01000539,Brent 004C,313,20.1,2.7,16.4,57112,24.8,16.1,2.5,42.3
E01000540,Brent 004D,311,9.3,2.7,15.7,64159,14.4,13.2,1.9,46.5
E01000541,Brent 004E,318,31.7,3.3,28.9,49875,24.4,30.5,2.5,40.6
E01000518,Brent 005A,352,29.8,2.9,23.5,37885,21.4,19.9,1.9,27.1
E01000519,Brent 005B,457,33.1,2.4,28,34956,25,32.8,2.9,29.9
E01000623,Brent 005C,409,17.6,2.4,23.1,42419,16.6,25.5,0.6,27.4
E01000624,Brent 005D,313,17.5,1.4,22.6,37934,25.3,19,2.8,27
E01000629,Brent 005E,436,20.3,2,27.1,36026,19.7,24.1,1,24.4
E01000480,Brent 006A,430,12.3,3.1,22.4,60922,17,22.8,2.6,43.1
E01000484,Brent 006B,254,31.7,2,20.8,32662,26.2,13.2,2.1,25.6
E01000485,Brent 006C,310,36.3,2.6,27.3,36130,28.5,22.7,1.8,28.2
E01000486,Brent 006D,384,14.8,2.4,27.6,50608,18.6,26.9,3.3,40.1
E01000487,Brent 006E,431,33.8,3.4,28.2,41412,30.3,35.9,4.1,38.6
E01000572,Brent 007A,340,19.3,3,20.1,51831,18.2,21.2,1.7,39.4
E01000573,Brent 007B,364,25.5,3.5,30.4,46537,18.8,24.1,3.5,34.8
E01000574,Brent 007C,310,22,3.3,25,48761,18.5,23.4,2.5,37
E01000575,Brent 007D,477,31.8,3.7,34.2,46533,22.6,40.2,2.2,38.7
E01000577,Brent 007E,584,41.7,2.9,32.9,31657,20.3,38.1,2.2,30.7
E01000562,Brent 008A,309,12.1,1.9,13.5,63638,15.6,10.8,2,45
E01000563,Brent 008B,312,8,2.1,17.3,59157,14.1,10.1,2.5,40.1
E01000566,Brent 008C,327,14.3,2.3,21.3,51593,16.4,14.3,1.2,35.7
E01000568,Brent 008D,1091,51.3,3.9,34.8,56965,55.8,26.4,12.8,48.4
E01000569,Brent 008E,331,9.6,2.9,15.6,58450,10.6,12.1,1.8,40.5
E01000479,Brent 009A,343,13.7,2.7,23.1,58833,20,17.3,2.1,40.3
E01000481,Brent 009B,395,40.5,3.4,28.7,34915,30.3,36.2,2.6,38.4
E01000482,Brent 009C,696,50,3.9,30,30802,29.2,25.1,2.6,30.1
E01000483,Brent 009D,364,49.6,2.6,30.9,29057,29.7,28.5,1.1,25.5
E01000625,Brent 009E,301,32.7,3,25,40571,31.1,25.3,4,28.3
E01000498,Brent 010B,339,28.2,2.8,31.1,31038,16.8,21.4,1.7,20.7
E01000622,Brent 010D,375,45.6,3,35.4,31534,33.8,43.7,2.6,24.3
E01000626,Brent 010E,321,50.2,2.9,27.8,28123,32.7,21.4,2,18.2
E01033464,Brent 010F,632,29,2.8,30.5,31528,17.1,24.1,1.5,21.4
E01000497,Brent 011A,397,35,3.4,24.2,35768,24.9,24.9,2,28.4
E01000499,Brent 011B,391,29.8,3,28.2,31487,13.8,30.4,1.6,25.9
E01000501,Brent 011C,358,43.2,3,27.1,31199,31.3,17.6,2.7,25.8
E01000502,Brent 011D,286,31.8,2.7,27.2,35838,25.4,24.7,2.4,27
E01000503,Brent 011E,435,37.3,2.3,23.7,35941,27.2,23.7,3,27.9
E01000570,Brent 012A,351,38.4,3,29.2,32432,20.1,26.1,2.1,27
E01000571,Brent 012B,411,19.5,3.3,25.6,45758,14.5,26,2.7,35
E01000576,Brent 012C,394,30,3.5,25.3,47303,22.7,28.1,1.8,38.2
E01000578,Brent 012D,404,37.3,4.4,21.8,40210,33.8,27.3,3,38.2
E01000564,Brent 013A,432,30.7,2.7,31.5,38982,17.8,37.8,2.1,31.4
E01000565,Brent 013B,288,31.4,2.7,20.1,44741,25.6,18.1,1.6,37.4
E01000607,Brent 013C,512,30.7,2.7,34.2,39424,21.1,30.4,1.5,32.4
E01000608,Brent 013D,540,39.9,3.2,32.3,34697,22.3,36,1.3,35.8
E01000613,Brent 013E,385,43,2.8,35.8,35921,29.4,44.8,5.1,36.9
E01000506,Brent 014A,449,54.9,3.6,35.5,28876,33.3,44.7,3.7,28.1
E01000509,Brent 014B,358,30,3.1,31.9,31847,20.2,28.8,1.8,22.9
E01000510,Brent 014C,434,41.8,4,37.9,33054,19.7,42.2,3.1,25.2
E01000511,Brent 014D,346,38.9,4.1,32.2,35767,23.8,40.1,1.8,30.8
E01000627,Brent 014E,423,44.9,3.5,30.6,29423,27.1,31.1,3.3,21.3
E01000628,Brent 014F,460,48.5,3.8,29.9,30691,29.4,32.5,2.2,25.7
E01000553,Brent 015A,558,51.4,4.8,25.1,33386,24.1,47.4,2.8,31.8
E01000554,Brent 015B,421,46,3.1,25.2,34874,25.2,36.7,3,35.1
E01000555,Brent 015C,375,30.1,3,14.6,57447,24.2,31.6,3.8,46.7
E01000556,Brent 015D,606,70.1,6,37.4,31089,39,63.9,4.4,35.4
E01000557,Brent 015E,561,57.7,5.3,29.8,38733,32.1,57.8,2.3,45.6
E01000558,Brent 015F,378,50.5,4.4,18.6,53253,38.9,38,2.9,50.2
E01000567,Brent 016A,265,30.5,2.3,22.4,44703,25.7,19.5,1.2,37.7
E01000606,Brent 016B,357,35.1,3,31.4,34900,27.2,28.6,1.2,27.5
E01000609,Brent 016C,469,32.2,2.9,33.9,35291,17.7,30.9,2.1,30.4
E01000611,Brent 016D,370,40.3,4.6,37.2,33957,24.4,28.6,1.3,33.7
E01000615,Brent 017B,385,42.8,2.8,31.1,35100,19,47.6,2.6,32
E01000617,Brent 017C,460,32.8,3.4,29.7,34347,22.3,27.1,4,28.3
E01000618,Brent 017D,359,27.8,2.6,24.4,33985,21.4,16.6,2.3,27.3
E01000619,Brent 017E,393,22.2,0.8,21.1,35335,12.3,17.1,2.3,27.2
E01033424,Brent 017F,522,70.8,5.2,29.8,34990,41.1,33.9,9.8,40.8
E01033457,Brent 017G,495,41.5,5.1,35.6,43670,21.4,50,4.3,46.8
E01000504,Brent 018A,437,48.5,3.3,22.2,44936,32.8,37.4,2.5,43.8
E01000505,Brent 018B,454,36,3,20,41969,23.6,21.5,2.6,34.9
E01000507,Brent 018C,453,34.3,3.3,21.9,41946,15.9,25.2,0.8,35.9
E01000512,Brent 018D,447,39.2,3.5,24.4,45660,25.7,32.8,1.8,42.8
