Lower Super Output Area,Names,Age 16-29,No cars or vans (%),Public Transport Accessibility Levels,Non-English speaking(%),Income estimate,One person household(%),Private rented (%),No usual residents (%),High qualification Level (%)
E01004637,Wandsworth 028E,362,37,2.6,14.8,48826,29.7,29.7,3.1,44.2
E01004481,Wandsworth 029A,604,48.9,4.8,9.5,55529,23.6,47.9,3.9,64.3
E01004488,Wandsworth 029B,368,43.2,4.6,5.8,62979,33.3,26.1,5,58.7
E01004547,Wandsworth 029C,312,36.8,5,8.3,58234,34.3,22.3,4.8,50.3
E01004548,Wandsworth 029D,658,60.9,5.8,10.6,51654,43.1,46.6,3.9,59.3
E01004482,Wandsworth 030A,414,44.4,3.9,12,53060,27.3,36.4,3.1,54.2
E01004485,Wandsworth 030B,478,46.9,5.9,13.7,59612,28.8,37.3,2.8,60.3
E01004487,Wandsworth 030C,391,51.7,4.1,7.6,57813,37.5,33.6,5,59.5
E01004489,Wandsworth 030D,319,47.1,4,6.4,66272,37.7,32.4,4.7,57.1
E01004490,Wandsworth 031A,314,27,4.2,3.7,75695,23.5,29.5,1.6,61.8
E01004491,Wandsworth 031B,845,57.2,2.4,19.4,46845,55.3,16.2,1.5,47.1
E01004492,Wandsworth 031C,428,42.7,3,9.4,51988,31.3,29.2,2.4,51.5
E01004498,Wandsworth 031D,400,34.2,5,4.2,66594,30.2,37.4,2.9,64.2
E01004532,Wandsworth 032A,332,44.9,1.6,8.9,49822,30,25.6,5,53.3
E01004611,Wandsworth 032B,415,39.6,4,15.1,48671,22.8,30.4,4,49.2
E01004612,Wandsworth 032C,500,46.6,5,25.6,45401,18.1,45.5,4.8,40.8
E01004618,Wandsworth 032D,414,33.4,4.2,11,62055,20.7,27.9,2.8,57.8
E01004531,Wandsworth 033A,408,48.2,5,14.5,43853,23.4,24.7,4.7,40
E01004533,Wandsworth 033B,343,47.3,3.3,13.7,42230,25,25.3,6.3,40.8
E01004610,Wandsworth 033C,622,34.7,5.3,16,45854,17.1,32.9,1.6,36.7
E01004613,Wandsworth 033D,465,62.5,5.8,22,35183,37.1,35.9,6.6,36.4
E01004614,Wandsworth 034A,682,53.1,5.2,16.5,41826,31.5,40.5,1.2,42.9
E01004615,Wandsworth 034B,432,60.5,3.8,19,33553,33.9,26.9,2.1,30.8
E01004616,Wandsworth 034C,813,60.5,6.7,19.5,42426,25.4,58.9,4.4,46.2
E01004617,Wandsworth 034D,644,60.2,5.4,19.9,38918,31.2,44.8,6.6,42.2
E01004525,Wandsworth 035A,626,57.2,6.9,27.2,42411,20.3,58,7.1,43.9
E01004526,Wandsworth 035B,447,58.6,6.9,21.2,44227,31.8,40.6,1.9,42.8
E01004527,Wandsworth 035C,429,45.8,6,15.9,46314,22.7,38.2,2.9,45.5
E01004528,Wandsworth 035D,336,53.3,4.5,15.9,40787,32.7,31.5,4.5,38.4
E01004529,Wandsworth 035E,508,50.9,5.6,20.5,47708,29.4,39.5,3,48.9
E01004530,Wandsworth 035F,518,48.8,5.7,17.6,48763,30.5,36,1.9,48.7
E01004516,Wandsworth 036A,467,20.8,2.3,8.6,58109,17.8,15.5,4.7,42.1
E01004518,Wandsworth 036B,307,31.4,3,10.6,53622,26.9,23.2,6.7,48.5
E01004519,Wandsworth 036C,352,40,4.3,17.1,45873,25.2,26.3,1.3,40.1
E01004520,Wandsworth 036D,262,32,3.6,15.7,45446,20.9,22,2.8,36.1
E01004523,Wandsworth 036E,333,44.9,2.7,11.6,47869,45.2,21.1,4.2,44.5
E01004517,Wandsworth 037A,467,45.8,3.4,21.6,45095,33.1,44.4,11.8,41.6
E01004521,Wandsworth 037B,364,40.1,3,14.7,46345,28,25.8,1.4,43.1
E01004522,Wandsworth 037C,352,42.5,3,19.4,44242,27.1,33,7,40.7
E01004524,Wandsworth 037D,328,62.1,3.3,18.9,33252,45.9,26.7,4.4,31
E01004647,Westminster 001A,249,49.5,4.4,18.1,79821,40.4,31.8,11.8,49.3
E01004649,Westminster 001B,388,42.3,5.9,24.7,94656,36.5,41.6,14.7,49.5
E01004724,Westminster 001C,357,60.7,4.3,24,69856,45.2,48.1,11.5,53.2
E01004730,Westminster 001D,270,43.4,2.9,21.1,89812,40.3,40.7,19,53.7
E01004646,Westminster 002A,227,33.3,4.7,18.5,112845,26.6,37.8,6,53.6
E01004648,Westminster 002B,466,47.7,5.1,21.4,78363,40.1,45.5,7.4,56.8
E01004650,Westminster 002C,386,45.2,5.8,20.3,97382,39.2,47.5,8.7,62
E01004710,Westminster 002D,330,62.2,6.2,26,40328,30.7,24.4,3.3,31.4
E01004711,Westminster 002E,369,65.1,5.1,23.6,44461,34.9,30,4,36.6
E01004651,Westminster 003A,428,63.4,6,28.6,76265,54.4,53.6,12.6,64
E01004725,Westminster 003B,326,59.4,5.1,31,49538,53.7,29.9,19.5,39.9
E01004726,Westminster 003C,381,50.5,5.3,24.5,83403,40.9,42,12.1,58.4
